gene_name,Ref,Site,cFC,mcDiff,t,P.Value,adjusted.P.Value
SMIM14,SMIM14_01,SMIM14_04,0.452408929527956,0.157089594108492,3.36069124531612,0.0152166089451791,0.0456498268355374
SMIM14,SMIM14_04,SMIM14_22,-0.690379645731591,-0.207907748361134,-2.55626872894104,0.0431248486288327,0.0862496972576653
SMIM14,SMIM14_14,SMIM14_22,-0.396390472465319,-0.137114674644775,-1.42345190523245,0.204462324999464,0.204462324999464
SMS,SMS_01,SMS_04,-0.290491889513965,-0.0813870790409059,-1.34102097002211,0.228447572732315,0.228447572732315
SMYD2,SMYD2_01,SMYD2_04,-0.238961740271793,-0.0646572556900904,-1.21311862354232,0.270672346356112,0.270672346356112
SNAP25,SNAP25_01,SNAP25_05,-0.297536104995061,-0.102500544654551,-2.16931815964378,0.0731306930154814,0.279654296631755
SNAP25,SNAP25_02,SNAP25_06,0.563972932524826,0.189443696179058,2.36460926840425,0.055930859326351,0.279654296631755
SNAP25,SNAP25_03,SNAP25_05,-0.287754990151477,-0.0746896976068196,-2.32173412997432,0.05930798583532,0.279654296631755
SNAP25,SNAP25_04,SNAP25_06,0.222008491838266,0.0723780735846844,1.830114353291,0.116969597356682,0.279654296631755
SNAP25,SNAP25_05,SNAP25_06,0.504504820214442,0.167170005552925,1.93574025483935,0.101036865252583,0.279654296631755
SNAP29,SNAP29_01,SNAP29_12,-0.0138403120180828,-0.00462120128714677,-0.0743110620821291,0.943178444143437,0.943178444143437
SNAPC3,SNAPC3_01,SNAPC3_06,-0.647877630503345,-0.178375461563301,-6.66599839947727,0.000551429822735333,0.00110285964547067
SNAPC3,SNAPC3_06,SNAPC3_22,0.507726154131318,0.133719189179353,3.43066816599297,0.0139597352108086,0.0139597352108086
SNAPIN,SNAPIN_01,SNAPIN_02,-0.867138264854288,-0.26931179638812,-3.17417197928958,0.0192170223139939,0.0192170223139939
SNCA,SNCA_04,SNCA_06,0.270315255670492,0.0819510642560505,3.18638082839174,0.0189226421558778,0.0378452843117556
SNCA,SNCA_05,SNCA_06,0.296355232170535,0.0789643056682675,2.02087354849934,0.0897916989857501,0.0897916989857501
SNCB,SNCB_03,SNCB_04,0.119360438405154,0.0420996749900851,1.12454055640518,0.303749404307945,0.303749404307945
SNCG,SNCG_01,SNCG_02,-0.664442061164927,-0.155294292699879,-4.69392374632595,0.00334718567397109,0.00334718567397109
SNN,SNN_04,SNN_07,0.142099160546941,0.0493441099846539,0.505015461419689,0.631556664144055,0.631556664144055
SNN,SNN_05,SNN_07,0.24672218351973,0.0858988192615899,1.27115141452807,0.250729280619418,0.501458561238836
SNRK,SNRK_04,SNRK_05,0.133530478745746,0.0471668873016156,0.993375697565602,0.35888380569525,0.35888380569525
SNRNP27,SNRNP27_01,SNRNP27_03,0.208934187836153,0.0726318327515227,2.10222527773041,0.0802304699472258,0.240691409841678
SNRNP27,SNRNP27_02,SNRNP27_04,-0.0345547147759079,-0.0100464183524502,-0.319952461148534,0.759852616394381,1
SNRNP27,SNRNP27_03,SNRNP27_04,-0.0697202167790156,-0.0231909974054174,-0.434106285342019,0.679386873728882,1
SNRPB2,SNRPB2_01,SNRPB2_02,0.0857024535969523,0.0302615712365297,0.302596039350321,0.772413789005612,0.772413789005612
SNRPD1,SNRPD1_01,SNRPD1_03,-0.265446272708781,-0.088500563002279,-1.68759540427499,0.142457836732178,0.142457836732178
SNRPD2,SNRPD2_01,SNRPD2_02,0.000576343167052684,5.4930475354209e-05,0.00380230144372591,0.997089477436569,0.997089477436569
SNRPD3,SNRPD3_01,SNRPD3_11,-0.312326603659721,-0.100715376894989,-1.34209625540529,0.228118955264528,0.652863612651793
SNRPD3,SNRPD3_04,SNRPD3_11,-0.552409091412418,-0.185870986413519,-2.07953741487671,0.0827877537735001,0.567854794681671
SNRPD3,SNRPD3_05,SNRPD3_06,0.2222979550923,0.0749888411811961,1.37720384434951,0.217621204217264,0.652863612651793
SNRPD3,SNRPD3_06,SNRPD3_11,-0.609426952084033,-0.212085093651238,-2.58847740129185,0.0412962945948887,0.330370356759109
